,,,,,,,,MONDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participant,role,field,experience,product focus,managerial,technical,day,time,emails,slack,convo (i),meeting (f),1-1,collab,read,document,investigation,prep/plan,brainstorm,infrastructure,training,demos,proposal,presentation,feedback,review,code,debug,test,triage,prototype,case work,ML work,design work,breakfast,lunch,break,pack up,event,WFH,office,appt,emergency,life,out,creative,slides,design,hackathon,architecture,feature,data,tools,effects,plan,learn,replication
,,,,,,,,TUESDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participant,role,field,experience,product focus,managerial,technical,day,time,emails,slack,convo (i),meeting (f),1-1,collab,read,document,investigation,prep/plan,brainstorm,infrastructure,training,demos,proposal,presentation,feedback,review,code,debug,test,triage,prototype,case work,ML work,design work,breakfast,lunch,break,pack up,event,WFH,office,appt,emergency,life,out,creative,slides,design,hackathon,architecture,feature,data,tools,effects,plan,learn,replication
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,06:00-07:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,07:00 - 08:00,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,08:00 - 09:00,3,0,2,1,3,0,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,09:00 - 10:00,4,4,5,9,13,1,0,2,1,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,5,0,0,0,1,0,0,0,0,3,2,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,10:00 - 11:00,2,0,4,8,11,2,0,1,0,2,0,3,1,1,1,0,0,3,2,0,0,1,0,1,0,2,0,0,0,0,1,1,2,0,0,1,1,8,0,1,0,1,0,0,1,0,6,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,11:00 - 12:00,3,0,9,10,14,2,0,0,1,2,0,4,0,0,1,0,0,3,2,4,1,0,0,1,0,1,0,4,1,0,0,1,2,0,0,1,0,6,1,1,0,2,0,0,0,0,2,1,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,12:00 - 13:00,2,2,3,4,5,2,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,13,1,0,0,1,3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,13:00 - 14:00,1,0,3,5,7,2,0,4,1,6,0,2,1,0,0,0,0,3,4,1,3,0,0,1,0,1,0,3,0,0,0,2,2,1,0,0,0,11,0,1,0,2,0,2,1,0,5,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,14:00 - 15:00,1,1,3,2,4,3,0,4,3,2,0,4,1,0,0,0,0,6,4,2,1,0,0,1,0,1,0,1,1,0,0,1,2,0,0,0,0,14,0,1,0,4,1,1,2,1,3,2,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,15:00 - 16:00,2,0,7,6,11,3,0,6,1,1,0,3,0,0,1,1,1,4,1,1,1,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,8,1,1,0,2,0,1,2,0,3,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,16:00 - 17:00,0,0,2,5,7,3,0,5,1,3,0,6,0,0,1,0,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,8,1,0,0,2,0,1,2,0,3,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,17:00 - 18:00,1,0,2,1,3,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,1,0,1,0,0,1,1,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,18:00 - 19:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,19:00 - 20:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggregated,aggregated,aggregated,0,5,10,20,Tuesday,20:00 - 21:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
